match_id,season,team,player,runs,balls,fours,sixes,out
1,2018,Sunrisers Hyderabad,Heinrich Klaasen,30,30,2,0,True
1,2018,Sunrisers Hyderabad,Abhishek Sharma,21,8,1,1,True
1,2018,Sunrisers Hyderabad,Travis Head,17,12,1,0,False
1,2018,Sunrisers Hyderabad,Nitish Kumar Reddy,35,19,2,1,True
1,2018,Sunrisers Hyderabad,Aman Pillai,18,29,1,0,True
1,2018,Sunrisers Hyderabad,Dev Malhotra,28,28,2,1,True
1,2018,Sunrisers Hyderabad,Anand Thakur,82,43,8,2,False
1,2018,Sunrisers Hyderabad,Karthik Verma,48,27,3,1,True
1,2018,Gujarat Titans,Shubman Gill,2,5,0,0,False
1,2018,Gujarat Titans,Sai Sudharsan,61,36,4,1,True
1,2018,Gujarat Titans,David Miller,26,27,1,0,False
1,2018,Gujarat Titans,Rahul Tewatia,37,26,3,1,True
1,2018,Gujarat Titans,Harsh Rao,15,21,1,0,False
1,2018,Gujarat Titans,Karan Chatterjee,42,22,4,1,True
1,2018,Gujarat Titans,Sameer Malhotra,20,12,1,0,False
1,2018,Gujarat Titans,Sameer Dubey,14,10,0,0,True
2,2018,Delhi Capitals,Rishabh Pant,0,4,0,0,False
2,2018,Delhi Capitals,Axar Patel,5,11,0,0,True
2,2018,Delhi Capitals,Mitchell Marsh,28,20,2,1,True
2,2018,Delhi Capitals,Tristan Stubbs,29,23,3,1,False
2,2018,Delhi Capitals,Abishek Porel,4,12,0,0,True
2,2018,Delhi Capitals,Sameer Nair,2,6,0,0,True
2,2018,Delhi Capitals,Kabir Bose,33,33,2,1,True
2,2018,Sunrisers Hyderabad,Heinrich Klaasen,44,24,4,1,False
2,2018,Sunrisers Hyderabad,Abhishek Sharma,5,10,0,0,True
2,2018,Sunrisers Hyderabad,Travis Head,35,17,3,1,True
2,2018,Sunrisers Hyderabad,Nitish Kumar Reddy,27,31,2,1,False
2,2018,Sunrisers Hyderabad,Aman Pillai,26,16,2,0,True
2,2018,Sunrisers Hyderabad,Dev Malhotra,42,23,4,1,True
2,2018,Sunrisers Hyderabad,Anand Thakur,22,11,1,1,True
2,2018,Sunrisers Hyderabad,Karthik Verma,46,28,4,1,False
3,2018,Mumbai Indians,Rohit Sharma,65,41,5,2,True
3,2018,Mumbai Indians,Suryakumar Yadav,35,24,2,1,True
3,2018,Mumbai Indians,Hardik Pandya,30,18,2,1,True
3,2018,Mumbai Indians,Ishan Kishan,14,11,1,0,True
3,2018,Mumbai Indians,Tilak Varma,27,23,2,1,False
3,2018,Mumbai Indians,Dev Rao,15,22,1,0,True
3,2018,Mumbai Indians,Karan Kapoor,45,23,3,1,True
3,2018,Mumbai Indians,Varun Nair,24,12,2,1,False
3,2018,Royal Challengers Bengaluru,Virat Kohli,99,34,9,3,True
3,2018,Royal Challengers Bengaluru,Faf du Plessis,18,18,2,0,False
3,2018,Royal Challengers Bengaluru,Glenn Maxwell,23,19,1,0,True
3,2018,Royal Challengers Bengaluru,Rajat Patidar,33,24,2,1,False
3,2018,Royal Challengers Bengaluru,Cameron Green,6,11,0,0,True
3,2018,Royal Challengers Bengaluru,Vivek Chauhan,21,21,2,0,True
3,2018,Royal Challengers Bengaluru,Sameer Iyer,64,36,7,1,True
3,2018,Royal Challengers Bengaluru,Abhishek Suresh,37,27,3,1,False
4,2018,Rajasthan Royals,Sanju Samson,34,21,3,1,False
4,2018,Rajasthan Royals,Yashasvi Jaiswal,19,40,1,0,True
4,2018,Rajasthan Royals,Jos Buttler,43,28,4,1,False
4,2018,Rajasthan Royals,Riyan Parag,30,20,2,1,False
4,2018,Rajasthan Royals,Kabir Ghosh,7,9,0,0,True
4,2018,Rajasthan Royals,Yash Suresh,40,14,2,1,True
4,2018,Rajasthan Royals,Rahul Mehta,0,4,0,0,True
4,2018,Lucknow Super Giants,Nicholas Pooran,37,24,2,1,True
4,2018,Lucknow Super Giants,Ayush Badoni,28,29,3,1,True
4,2018,Lucknow Super Giants,Marcus Stoinis,34,16,3,0,True
4,2018,Lucknow Super Giants,Quinton de Kock,40,43,2,1,True
4,2018,Lucknow Super Giants,Nikhil Ghosh,17,13,1,0,True
4,2018,Lucknow Super Giants,Nikhil Reddy,18,9,1,0,False
4,2018,Lucknow Super Giants,Rohan Pillai,0,10,0,0,True
4,2018,Lucknow Super Giants,Varun Bhatt,58,36,5,2,True
5,2018,Mumbai Indians,Rohit Sharma,59,38,6,2,True
5,2018,Mumbai Indians,Suryakumar Yadav,31,17,1,1,False
5,2018,Mumbai Indians,Ishan Kishan,44,31,3,2,True
5,2018,Mumbai Indians,Tilak Varma,39,31,3,1,True
5,2018,Mumbai Indians,Dev Rao,21,26,1,0,False
5,2018,Mumbai Indians,Karan Kapoor,8,2,0,0,True
5,2018,Mumbai Indians,Varun Nair,21,30,1,0,False
5,2018,Kolkata Knight Riders,Shreyas Iyer,54,27,3,2,True
5,2018,Kolkata Knight Riders,Andre Russell,30,29,2,1,True
5,2018,Kolkata Knight Riders,Sunil Narine,25,27,1,0,True
5,2018,Kolkata Knight Riders,Rinku Singh,20,12,2,0,True
5,2018,Kolkata Knight Riders,Venkatesh Iyer,43,24,3,1,True
5,2018,Kolkata Knight Riders,Anand Nair,39,18,2,1,True
5,2018,Kolkata Knight Riders,Dev Kulkarni,33,22,3,0,True
5,2018,Kolkata Knight Riders,Arjun Kapoor,57,42,6,2,True
6,2018,Chennai Super Kings,MS Dhoni,36,25,2,1,True
6,2018,Chennai Super Kings,Ravindra Jadeja,14,2,0,0,True
6,2018,Chennai Super Kings,Ruturaj Gaikwad,42,33,3,1,True
6,2018,Chennai Super Kings,Shivam Dube,28,19,2,1,True
6,2018,Chennai Super Kings,Moeen Ali,10,15,0,0,True
6,2018,Chennai Super Kings,Kabir Pillai,4,19,0,0,True
6,2018,Chennai Super Kings,Varun Saxena,13,9,0,0,True
6,2018,Chennai Super Kings,Pranav Bhatt,14,14,1,0,False
6,2018,Rajasthan Royals,Sanju Samson,68,38,6,2,True
6,2018,Rajasthan Royals,Yashasvi Jaiswal,32,33,2,1,True
6,2018,Rajasthan Royals,Jos Buttler,0,10,0,0,True
6,2018,Rajasthan Royals,Riyan Parag,13,17,0,0,False
6,2018,Rajasthan Royals,Dhruv Jurel,35,19,3,1,False
6,2018,Rajasthan Royals,Kabir Ghosh,43,31,3,1,True
6,2018,Rajasthan Royals,Yash Suresh,17,17,1,0,True
6,2018,Rajasthan Royals,Rahul Mehta,34,26,2,1,True
7,2018,Punjab Kings,Shikhar Dhawan,22,27,2,0,False
7,2018,Punjab Kings,Liam Livingstone,19,11,1,0,False
7,2018,Punjab Kings,Sam Curran,13,19,0,0,False
7,2018,Punjab Kings,Jitesh Sharma,24,25,1,1,False
7,2018,Punjab Kings,Prabhsimran Singh,14,23,0,0,False
7,2018,Punjab Kings,Ajay Joshi,40,26,4,1,True
7,2018,Punjab Kings,Varun Menon,8,1,0,0,True
7,2018,Punjab Kings,Deepak Chauhan,6,9,0,0,True
7,2018,Gujarat Titans,Shubman Gill,33,25,3,0,True
7,2018,Gujarat Titans,Sai Sudharsan,22,9,1,0,False
7,2018,Gujarat Titans,David Miller,24,19,1,0,False
7,2018,Gujarat Titans,Rahul Tewatia,30,23,2,0,True
7,2018,Gujarat Titans,Harsh Rao,43,23,4,1,False
7,2018,Gujarat Titans,Karan Chatterjee,64,39,4,2,False
7,2018,Gujarat Titans,Sameer Malhotra,41,23,4,1,False
7,2018,Gujarat Titans,Sameer Dubey,26,21,2,0,True
8,2018,Kolkata Knight Riders,Shreyas Iyer,27,32,2,1,False
8,2018,Kolkata Knight Riders,Andre Russell,3,5,0,0,True
8,2018,Kolkata Knight Riders,Sunil Narine,8,6,0,0,True
8,2018,Kolkata Knight Riders,Rinku Singh,33,18,3,1,True
8,2018,Kolkata Knight Riders,Venkatesh Iyer,23,24,2,1,True
8,2018,Kolkata Knight Riders,Anand Nair,39,29,2,1,False
8,2018,Kolkata Knight Riders,Dev Kulkarni,39,34,3,1,True
8,2018,Kolkata Knight Riders,Arjun Kapoor,27,22,2,0,True
8,2018,Lucknow Super Giants,Nicholas Pooran,5,9,0,0,True
8,2018,Lucknow Super Giants,Ayush Badoni,35,28,3,0,False
8,2018,Lucknow Super Giants,Marcus Stoinis,13,13,1,0,True
8,2018,Lucknow Super Giants,Quinton de Kock,63,34,5,2,True
8,2018,Lucknow Super Giants,Nikhil Ghosh,2,6,0,0,True
8,2018,Lucknow Super Giants,Nikhil Reddy,0,5,0,0,False
8,2018,Lucknow Super Giants,Rohan Pillai,7,13,0,0,False
8,2018,Lucknow Super Giants,Varun Bhatt,3,9,0,0,True
9,2018,Royal Challengers Bengaluru,Virat Kohli,94,35,7,3,False
